"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number","reward_type","trial_type"
0.492185124052493,0.465346224750959,0.519069144185561,0.4921875,0.465348967274711,0.519057643568259,3200,"erotic","pure"
0.494242425398557,0.467967179896178,0.520549513368212,0.494242424242424,0.467809633156115,0.520697803461229,3300,"erotic","pure"
0.495588235294118,0.46969960395967,0.521500544974353,0.495588235294118,0.469545240111214,0.521648028119847,3400,"erotic","pure"
0.496285714285714,0.470766448101313,0.521824347146176,0.496285714285714,0.470617289502823,0.521967875821127,3500,"erotic","pure"
0.496111111111111,0.470948598902694,0.521293338008333,0.496111111111111,0.470803441536132,0.521432762490198,3600,"erotic","pure"
0.495945945945946,0.471125745405668,0.520786143650221,0.495945945945946,0.470984255830146,0.520921816599439,3700,"erotic","pure"
0.495526315789475,0.471035168662204,0.52003895058067,0.495526315789474,0.470897370827732,0.520170496106925,3800,"erotic","pure"
0.494358974358973,0.470186522511828,0.518557827111705,0.494358974358974,0.470051499469704,0.51868516604639,3900,"erotic","pure"
0.493499999999983,0.469633354347648,0.517396307549823,0.4935,0.469501258726435,0.517519767424718,4000,"erotic","pure"
0.494634146341452,0.471056979057795,0.518235202841312,0.494634146341463,0.4709284702492,0.518356755305443,4100,"erotic","pure"
0.495952380952382,0.472653544603921,0.519268809265137,0.495952380952381,0.472528999477937,0.519388230410668,4200,"erotic","pure"
0.496046511627907,0.473019316006714,0.519090491274931,0.496046511627907,0.472897895151843,0.519207022137414,4300,"erotic","pure"
0.495682178274844,0.472874616873822,0.518507723709224,0.495681818181818,0.472799374775216,0.518576956730464,4400,"erotic","pure"
0.494451792427761,0.471715321720749,0.517211234183503,0.494444444444444,0.471820898585155,0.517083959290868,4500,"erotic","pure"
0.493912685117272,0.471496953546786,0.51635291636575,0.493913043478261,0.471538616053239,0.516304585970151,4600,"erotic","pure"
0.494044427481519,0.471961362796829,0.516150754380748,0.494042553191489,0.471907980458534,0.516193519478264,4700,"erotic","pure"
0.494586486582173,0.472735938085145,0.51645773439651,0.494583333333333,0.472680313485339,0.516500947268449,4800,"erotic","pure"
0.494693191927612,0.472806102745208,0.516600639905996,0.49469387755102,0.473016059218828,0.516385699597394,4900,"erotic","pure"
0.494808443948414,0.473318636486093,0.516317450792305,0.4948,0.473340590136462,0.516272858307604,5000,"erotic","pure"
0.494122716417383,0.472772953548394,0.515493935297797,0.494117647058824,0.472871545606876,0.515378662606819,5100,"erotic","pure"
0.494233213148417,0.473182811065763,0.515304080830868,0.494230769230769,0.473190415756252,0.515285467967337,5200,"erotic","pure"
0.496626067991536,0.475673855673557,0.5175901366742,0.496603773584906,0.475759703335267,0.517456128844533,5300,"erotic","pure"
0.496489941033227,0.475707993422734,0.517284023980141,0.496481481481481,0.475832140791853,0.517139246152119,5400,"erotic","pure"
0.496001681322327,0.475182841221083,0.516834395291175,0.496,0.475540577805641,0.516468824365894,5500,"erotic","pure"
0.495710697204598,0.475298518714044,0.516137184115553,0.495714285714286,0.475439382241939,0.515999082599343,5600,"erotic","pure"
0.493841114023842,0.473444100616211,0.514258649822453,0.493859649122807,0.473766834147506,0.513966389569845,5700,"erotic","pure"
0.493284276868523,0.473020124792751,0.513570518712581,0.493275862068966,0.473358500828552,0.513208209154872,5800,"erotic","pure"
0.49305711659969,0.473046505308293,0.513089997745366,0.493050847457627,0.473303882086937,0.51281303700922,5900,"erotic","pure"
0.493345473178325,0.473324605240302,0.513387706619157,0.493333333333333,0.473751661019581,0.51292936693732,6000,"erotic","pure"
0.49260769375517,0.472747039337392,0.512491707616311,0.492622950819672,0.473204070980804,0.512057461097057,6100,"erotic","pure"
0.492748100073759,0.473146457905972,0.512372063173967,0.492741935483871,0.473480569924998,0.512018430736652,6200,"erotic","pure"
0.493834536637843,0.474473570404343,0.513214012205518,0.493809523809524,0.47470044813018,0.512931298430402,6300,"erotic","pure"
0.494072535643654,0.474995866844502,0.513166479446846,0.4940625,0.475103377827203,0.513033611397472,6400,"erotic","pure"
0.49322797306804,0.474395341346551,0.512079842517341,0.493230769230769,0.474419711084146,0.512055285276585,6500,"erotic","pure"
0.492422702220787,0.473756820456495,0.511109733134655,0.492424242424242,0.473757873982828,0.511105443477967,6600,"erotic","pure"
0.492843735666506,0.474266357984784,0.511440896541461,0.492835820895522,0.474309056998346,0.511376401723844,6700,"erotic","pure"
0.494875744528036,0.476342539228228,0.513423042636869,0.494852941176471,0.476460474075821,0.513255188637533,6800,"erotic","pure"
0.494059287672621,0.475692361884223,0.512442262243108,0.494057971014493,0.47580072970739,0.512326339254393,6900,"erotic","pure"
0.4934273102134,0.475292628646857,0.511579303588213,0.493428571428571,0.47530345314099,0.511565819050963,7000,"erotic","pure"
0.492957780764754,0.475034934379459,0.510898746327715,0.492957746478873,0.474961746398715,0.510966561430745,7100,"erotic","pure"
0.492638888888891,0.474842537635737,0.510453914467364,0.492638888888889,0.474769100817228,0.510521885592107,7200,"erotic","pure"
0.491506849315079,0.473834612225818,0.509200337882471,0.491506849315068,0.473761857746334,0.509266871585072,7300,"erotic","pure"
0.492297297297312,0.474743370677404,0.509870237103569,0.492297297297297,0.474671799256107,0.509936242515856,7400,"erotic","pure"
0.492666666666669,0.475229269429729,0.51012192436899,0.492666666666667,0.475158877600291,0.510187086991148,7500,"erotic","pure"
0.492105263157894,0.474784000610307,0.509445500212726,0.492105263157895,0.474714129125888,0.509509816109539,7600,"erotic","pure"
0.492467532467549,0.475258263234332,0.509694670748109,0.492467532467532,0.475189507149552,0.509758194298316,7700,"erotic","pure"
0.492179487179503,0.475081154523806,0.509296134709769,0.492179487179487,0.475013266668102,0.509358658855266,7800,"erotic","pure"
0.492784810126592,0.475794140550679,0.509792162750794,0.492784810126582,0.475727070776805,0.509854346610295,7900,"erotic","pure"
0.492000000000014,0.475117019246733,0.508901247409381,0.492,0.475050532478049,0.508962383990723,8000,"erotic","pure"
0.492098765432098,0.475319787984157,0.508895561963359,0.492098765432099,0.475254395813589,0.508955734217997,8100,"erotic","pure"
0.492073170731726,0.475396868409656,0.508767131716607,0.492073170731707,0.475332131644611,0.508826695317278,8200,"erotic","pure"
0.491927710843383,0.475352246227083,0.508520941742737,0.491927710843374,0.475288283304002,0.508579699474361,8300,"erotic","pure"
0.492261904761907,0.475784551952823,0.508756086105391,0.492261904761905,0.475721646165322,0.50881406076335,8400,"erotic","pure"
0.493294117647058,0.476912330736578,0.509690316698374,0.493294117647059,0.47685042480041,0.50974799929981,8500,"erotic","pure"
0.493488372093035,0.477201780226072,0.509788795875792,0.493488372093023,0.477140586212239,0.509845936344358,8600,"erotic","pure"
0.493678160919541,0.477484971101003,0.509884625402326,0.49367816091954,0.477424629017027,0.509941076839392,8700,"erotic","pure"
0.493409090909091,0.477308501607548,0.509523362640572,0.493409090909091,0.477248726697564,0.509579127130136,8800,"erotic","pure"
0.493033707865172,0.477024263483442,0.509057451594791,0.493033707865169,0.476965062601213,0.509112460899456,8900,"erotic","pure"
0.493222222222223,0.477302196309917,0.509156005009353,0.493222222222222,0.477243110850302,0.509211058339978,9000,"erotic","pure"
0.49263736263737,0.476805333697847,0.508484172310651,0.492637362637363,0.476747196049265,0.508537976798602,9100,"erotic","pure"
