"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number","reward_type"
0.497457763132585,0.485203455791268,0.509715125416244,0.497428571428571,0.485647398727532,0.509211887272607,7000,"erotic"
0.498237443679966,0.486049765996749,0.510427216222917,0.498169014084507,0.486471186328569,0.509868346291747,7100,"erotic"
0.496688625070347,0.484504368774348,0.508876815559256,0.496666666666667,0.485051599786255,0.508284434238928,7200,"erotic"
0.496582593394455,0.484439270502043,0.50872994926835,0.496575342465753,0.485040593557546,0.508112827907579,7300,"erotic"
0.496524646488208,0.484489854767907,0.508563466607335,0.496486486486486,0.485030415101892,0.50794532732769,7400,"erotic"
0.496542733239345,0.484575210834323,0.508514218387504,0.496533333333333,0.485154280910795,0.507915081719677,7500,"erotic"
0.49646271255383,0.4845777564508,0.508351667398418,0.496447368421053,0.48514387649793,0.507753586676647,7600,"erotic"
0.497093565884406,0.485273727236337,0.508916653965706,0.497012987012987,0.485783230806881,0.508245005611818,7700,"erotic"
0.497079240619647,0.485386029924203,0.508775647168258,0.497051282051282,0.48589410912396,0.508210659630498,7800,"erotic"
0.498436196612736,0.486799756841797,0.510074330642925,0.498354430379747,0.487267859726663,0.509442215737466,7900,"erotic"
0.49802789281816,0.486548407858941,0.509509457238133,0.498,0.486983464896009,0.509017992917816,8000,"erotic"
0.498914668228955,0.487427031845757,0.510403450545166,0.498888888888889,0.487940547468144,0.509838030172237,8100,"erotic"
0.498556519165372,0.487177096246546,0.509937437638477,0.498536585365854,0.487655704460498,0.509418506856525,8200,"erotic"
0.49773840458925,0.486326093332199,0.509153072798024,0.497710843373494,0.48689640879858,0.50852688601173,8300,"erotic"
0.497397018940496,0.486029645544746,0.508767083845238,0.497380952380952,0.486631565041203,0.508132157544275,8400,"erotic"
0.498635375970077,0.487277318803012,0.509994841673921,0.498588235294118,0.487902074634222,0.50927536426126,8500,"erotic"
0.498128034721834,0.486830368065583,0.509427613188674,0.498139534883721,0.487516188166271,0.508764142776241,8600,"erotic"
0.498181710626771,0.487011892085803,0.509353344355429,0.49816091954023,0.487599106374175,0.508723965006633,8700,"erotic"
0.498218825849472,0.48714673107639,0.509292667771765,0.498181818181818,0.487680483517292,0.508684357252084,8800,"erotic"
0.497303634076742,0.486316211659968,0.508293661303434,0.497303370786517,0.486861867630123,0.5077466401141,8900,"erotic"
0.496802519030565,0.485875495917966,0.507732597351654,0.496777777777778,0.486394969868103,0.507162672570941,9000,"erotic"
0.496495659543087,0.485619954468416,0.507374681766142,0.496483516483516,0.486158332713388,0.506810952605999,9100,"erotic"
0.496303221008052,0.485445631046271,0.507164298705582,0.496304347826087,0.486035792262399,0.506575244687096,9200,"erotic"
0.496466127965058,0.485672957880663,0.507262592576578,0.496451612903226,0.486238616455192,0.506666833100194,9300,"erotic"
0.496379896152615,0.485624665871518,0.507138477696714,0.496382978723404,0.48622474821181,0.50654345180278,9400,"erotic"
0.497307643986112,0.486619229759558,0.507998519496023,0.497263157894737,0.48715841019663,0.507369584525846,9500,"erotic"
